"Read Details","Lees details"
"Could not delete coupon code","couponcode kan niet verwijderd worden"
"Cannot assign customer to the given cart. You don't have permission for this operation.","Kan klant niet aan de opgegeven winkelwagen koppelen. U heeft geen bevoegdheid om dit uit te voeren."
"Shipping address is not set","Verzendadres is niet ingesteld"
"The requested Payment Method is not available.","De gevraagde betaalmethode is niet beschikbaar"
"We found an invalid request for adding product to quote.","We vonden een ongeldige aanvraag om het product toe te voegen aan de Quote."
"This is the wrong quote item id to update configuration.","Dit is het verkeerde quote item id om de configuratie bij te werken."
"This shipping method is not available. To use this shipping method please contact us.","Deze verzendmethode is niet beschikbaar. Als u wilt deze verzendmethode gebruiken neem contact met ons op."
"The address model is not defined.","De adres-model is niet gedefinieerd."
"                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","Het adres totaal model zal moeten worden uitgebreid van \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Grand Total",Eindtotaal
"Shipping & Handling (%1)","Verzending & verwerking (%1)"
"Shipping & Handling","Verzending en verwerking"
Shipping,Verzending
Subtotal,Subtotaal
"We found an invalid item option format.","We vonden een ongeldig optie formaat."
"An item option with code %1 already exists.","Een product optie met code %1 bestaad reeds."
"Item qty declaration error","Artikel-aantal declaratiefout"
"Some of the products below do not have all the required options.","Sommige van de producten hieronder hebben niet alle verplicht opties."
"Something went wrong during the item options declaration.","Er ging iets mis tijdens het opmaken van de opties van het item."
"We found an item options declaration error.","We vonden een productopties declaratie fout."
"Some of the selected options are not currently available.","Sommige van de geselecteerde opties zijn op dit moment niet beschikbaar."
"Selected option(s) or their combination is not currently available.","De geselecteerde optie(s) of de combinatie hiervan is op dit moment niet beschikbaar."
"Some item options or their combination are not currently available.","Sommige item opties of de combinatie hiervan zijn op dit moment niet beschikbaar."
"Cart %1 does not contain item %2","Winkelwagen %1 bevat product %2 niet"
"Could not save quote","Quote kon niet worden opgeslagen"
"Cart %1 doesn't contain item  %2","Winkelwagen %1 bevat geen artikel %2"
"Could not remove item from quote","Kan item niet verwijderen uit quote"
"The qty value is required to update quote item.","De qty waarde is verplicht om het quote item bij te werken."
"Minimum order amount is %1","Minimaal bestelaantal is %1"
"Invalid customer id %1","Ongeldig klant id %1"
"Invalid address id %1","Ongeldig adres id %1"
"Invalid customer address id %1","Ongeldig klant-adres id %1"
"Cannot create quote","Quote kon niet worden aangemaakt"
"Cannot assign customer to the given cart. The cart belongs to different store.","De klant kan niet toegewezen worden aan deze winkelwagen. De winkelwagen behoort toe aan een andere winkel."
"Cannot assign customer to the given cart. The cart is not anonymous.","De klant kan niet toegewezen worden aan deze winkelwagen. De winkelwagen is niet anoniem."
"Cannot assign customer to the given cart. Customer already has active cart.","De klant kan niet toegewezen worden aan deze winkelwagen. De klant heeft al een actieve winkelwagen."
"Only 1 shipping assignment can be set","Slechts 1 verzending toewijzing kan worden ingesteld"
"This item price or quantity is not valid for checkout.","Deze productprijs of aantal is niet geldig voor afhandeling."
"Please check the shipping address information. %1","Gelieve de verzendgegevens van dit adres te controleren. %1"
"Please specify a shipping method.","Geef een verzendmethode op."
"Please check the billing address information. %1","Gelieve de verzendgegevens van dit adres te controleren. %1"
"Please select a valid payment method.","Selecteer een geldige betaalmethode."
"Store Credit",Winkeltegoed
Discount,Korting
Tax,BTW
"Cart contains virtual product(s) only. Shipping address is not applicable.","Winkelwagen bevat alleen virtuele producten. Verzendadres is niet van toepassing."
"Shipping address not set.","Verzendadres niet ingesteld."
"Cannot set shipping method. %1","Kan de verzendmethode niet instellen.%1"
"Shipping method is not applicable for empty cart","Verzendmethode is niet van toepassing voor een lege winkelwagen"
"Cart contains virtual product(s) only. Shipping method is not applicable.","Winkelwagen bevat alleen virtuele product(en). Verzendmethode is hiervoor niet van toepassing."
"New Accounts","Nieuwe accounts:"
"Customers by number of orders","Klanten per totaal aantal bestellingen"
"Customers by Orders Total","Klanten o.b.v. orderwaarde"
"Date Used","Datum gebruikt"
Day,Dag
Month,Maand
Year,Jaar
Period,Periode
From,Van
To,Aan
Yes,Ja
No,Nee
"Empty Rows","Lege regels"
"Invalid date specified","Ongeldige datum opgegeven"
Refresh,Vernieuwen
"We can't find records for this period.","We kunnen geen resultaten voor deze periode vinden."
"Show Reviews","Beoordelingen tonen"
"Products Report",Productenrapport
Link,link
SKU,Art.nr.
Purchases,Aankopen
Unlimited,Onbeperkt
"Low stock","Lage voorraad"
"Products Ordered","Bestelde producten"
"Most Viewed","Meest bekeken"
"Show Report","Toon rapport"
Total,Totaal
Price,prijs
Views,Weergaven
"Refresh Statistics","Vernieuw Statistieken"
"Customers Reviews",Klanten-reviews
"Reviews for %1","Reviews voor %s"
Customer,Klant
Title,Titel
Created,Aangemaakt
"Products Reviews",Reviews
"Products Bestsellers Report","Rapportage Bestsellers"
"Order Quantity",Bestelaantal
"Coupons Usage Report","Coupons gebruik-rapport"
Subtotal,Subtotaal
"Coupon Code","Tegoedbon code"
"Price Rule","Prijs regel"
Uses,Gebruikt
"Sales Subtotal","Verkoop subtotaal"
"Sales Discount",Kortingen
"Sales Total",Verkooptotaal
Discount,Korting
"Total Invoiced vs. Paid Report","Rapport: Totaal gefactureerd vs. Totaal betaald"
Orders,Bestellingen
"Invoiced Orders","Gefactureerde Orders"
"Total Invoiced","Totaal gefactureerd"
"Paid Invoices","Betaalde facturen"
"Unpaid Invoices","Onbetaalde facturen"
"Total Refunded Report","Rapportage Totaal Gerefund"
"Refunded Orders","Terugbetaalde bestellingen"
"Total Refunded","Totaal terugbetaald"
"Online Refunds","Online restituties"
"Offline Refunds","Off line restituties"
"Total Ordered Report","Rapportage Totaal Besteld"
"Sales Items","Bestelling artikelen"
Items,Producten
Revenue,Omzet
Profit,Winst
Invoiced,Gefactureerd
Paid,Betaald
Refunded,Teruggestort
"Sales Tax",BTW
Tax,BTW
"Sales Shipping","Verkoop verzending"
Shipping,Aflevering
Canceled,Geannuleerd
"Total Shipped Report","Rapportage Totaal Verzonden"
Carrier/Method,Vervoeder/Methode
"Total Sales Shipping","Totaal verkoop verzending"
"Total Shipping","Totaal verzending"
"Order Taxes Report Grouped by Tax Rate","Bestelling BTW-rapport gegroepeerd op BTW-groep"
Rate,Ratio
"Tax Amount",BTW-bedrag
"Abandoned carts","Achtergelaten winkelwagens"
Products,Producten
Quantity,Aantal
"Applied Coupon","Gebruikte kortingsbon"
Updated,Bijgewerkt
"IP Address","IP Adres"
Customers,Klanten
"First Name",Voornaam
"Last Name",Achternaam
"Items in Cart","Producten in winkelwagen"
"Products in carts","Producten in winkelwagens"
Carts,Winkelwagens
Name,Naam
"Wish Lists",Verlanglijst
"Wish List Purchase","Wensenlijst aankoop"
"Wish List vs. Regular Order","Verlanglijst vs normale bestelling"
"Times Deleted","Keer verwijderd"
"Index type is not valid","Indextype is niet geldig"
Reports,Rapportages
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a> click <a href=""%3"">here</a>.","Laatst bijgewerkt: %1. Voor het vernieuwen van de <a href=""%2""> Statistieken</a> van de laatste dag klik <a href=""%3""> hier</a>."
"New Accounts Report","Nieuwe klanten rapportage"
"Customers by Number of Orders","Klanten o.b.v. bestellingen"
"Order Count Report","Aantal orders verslag"
"Order Total Report","Totale bestelling rapportage"
"Downloads Report","Downloads verslag"
"Low Stock","Lage voorraad"
"Low Stock Report","Rapportage weinig voorraad"
"Ordered Products Report","Bestelde producten rapportage"
"Products Most Viewed Report","Rapportage meest bekeken producten"
"Product Views Report","Bekeken producten rapportage"
"An error occurred while showing the product views report. Please review the log and try again.","Er is een fout opgetreden tijdens het weergeven van de productrapportage. Controleer het logboek en probeer opnieuw."
"Customers Report",Klantenrapport
"Customer Reviews Report","Rapportage Klant Reviews"
"Product Reviews Report","Rapportage Product Reviews"
"Product Reviews",Productreviews
Details,Gegevens
Sales,Verkopen
"Bestsellers Report","Best sellers rapport"
Coupons,Kortingsbonnen
"Coupons Report","Coupons rapportage"
"Invoice Report","Factuur rapportage"
"Refunds Report","Refunds rapportage"
"Sales Report",Verkooprapport
"Orders Report","Orders rapport"
"Shipping Report","Verzending verslag"
"Tax Report","Fiscaal verslag"
"Shopping Cart",Winkelwagen
"Abandoned Carts","Achtergelaten winkelwagens"
"Customer Shopping Carts","Winkelwagens van klant"
"Products in Carts","Producten in winkelwagen"
Statistics,Statistieken
"No report code is specified.","Geen rapportage code opgegeven."
"You refreshed lifetime statistics.","Uw vernieuwde levensduur statistieken."
"We can't refresh lifetime statistics.","Statistieken bijwerken niet gelukt."
"Recent statistics have been updated.","Recente statistieken zijn vernieuwd"
"We can't refresh recent statistics.","We kunnen de recente statistieken niet vernieuwen."
"The product type filter specified is incorrect.","Het opgegeven product type filter is onjuist."
"Order Taxes Report Grouped by Tax Rates","Bestelling BTW-rapportage gegroepeerd op BTW-tarieven"
"Total Invoiced VS Paid Report","Rapportage Totaal Gefactureerd VS Betaald"
"Promotion Coupons Usage Report","Rapportage Kortingsbonnen"
Bestsellers,"Meest verkochte producten"
"Most Viewed Products Report","Rapport meest bekeken producten"
"An error occurred while showing the product views report. Please review the log and try again.","Er is een fout opgetreden tijdens het weergeven van de productrapportage. Controleer het logboek en probeer opnieuw."
Error,Foutmelding
"Show By","Tonen op"
"Select Date","Datum selecteren"
"Customers that have Wish List: %1","Klanten met verlanglijst: %1"
"Number of Wish Lists: %1","Aantal verlanglijsten: %1"
"Number of items bought from a Wish List: %1","Aantal producten gekocht van een verlanglijst: %1"
"Number of times Wish Lists have been shared (emailed): %1","Aantal keren dat verlanglijsten zijn gedeeld (per e-mail): %s"
"Number of Wish List referrals: %1","Aantal verlanglijst verwijzingen: %1"
"Number of Wish List conversions: %1","Aantal conversies van de verlanglijsten: %1"
"Show Report For:","Toon rapport voor:"
"All Websites","Alle Websites"
"Recently Viewed","Recent bekeken"
"Add to Cart","In Winkelwagen"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Add to Wish List","Voeg toe aan verlanglijst"
"Add to Compare","Toevoegen om te vergelijken"
"Recently Compared","Recentelijk vergelijken"
"Learn More","Lees verder"
"Save Review","Review opslaan"
"New Review","Nieuwe review"
"Review Details","Review details"
"Product Rating",Productwaardering
Visibility,Zichtbaarheid
Nickname,"Uw naam"
"Summary of Review","Titel van review"
Previous,Vorige
"Save and Previous","Opslaan en vorige"
"Save and Next","Opslaan en volgende"
Next,Volgende
"Delete Review","Review verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
